8760	0	0	0	
8762.12	-1.#IND	-1.#IND	-1.#IND	
8762.13	-1.#IND	-1.#IND	-1.#IND	
8762.13	-1.#IND	-1.#IND	-1.#IND	
8762.14	-1.#IND	-1.#IND	-1.#IND	
8762.15	-1.#IND	-1.#IND	-1.#IND	
8762.15	-1.#IND	-1.#IND	-1.#IND	
8762.16	-1.#IND	-1.#IND	-1.#IND	
8762.17	-1.#IND	-1.#IND	-1.#IND	
8762.17	-1.#IND	-1.#IND	-1.#IND	
8762.18	-1.#IND	-1.#IND	-1.#IND	
8762.19	-1.#IND	-1.#IND	-1.#IND	
8762.19	-1.#IND	-1.#IND	-1.#IND	
8762.2	-1.#IND	-1.#IND	-1.#IND	
8762.21	-1.#IND	-1.#IND	-1.#IND	
8762.21	-1.#IND	-1.#IND	-1.#IND	
8762.22	-1.#IND	-1.#IND	-1.#IND	
8762.23	-1.#IND	-1.#IND	-1.#IND	
8762.23	-1.#IND	-1.#IND	-1.#IND	
8762.24	-1.#IND	-1.#IND	-1.#IND	
8762.25	-1.#IND	-1.#IND	-1.#IND	
8762.25	-1.#IND	-1.#IND	-1.#IND	
8762.26	-1.#IND	-1.#IND	-1.#IND	
8762.27	-1.#IND	-1.#IND	-1.#IND	
8762.27	-1.#IND	-1.#IND	-1.#IND	
8762.28	-1.#IND	-1.#IND	-1.#IND	
8762.29	-1.#IND	-1.#IND	-1.#IND	
8762.29	-1.#IND	-1.#IND	-1.#IND	
8762.3	-1.#IND	-1.#IND	-1.#IND	
8762.31	-1.#IND	-1.#IND	-1.#IND	
8762.31	-1.#IND	-1.#IND	-1.#IND	
8762.32	-1.#IND	-1.#IND	-1.#IND	
8762.33	-1.#IND	-1.#IND	-1.#IND	
8762.33	-1.#IND	-1.#IND	-1.#IND	
8762.34	-1.#IND	-1.#IND	-1.#IND	
8762.35	-1.#IND	-1.#IND	-1.#IND	
8762.35	-1.#IND	-1.#IND	-1.#IND	
8762.36	-1.#IND	-1.#IND	-1.#IND	
8762.37	-1.#IND	-1.#IND	-1.#IND	
8762.37	-1.#IND	-1.#IND	-1.#IND	
8762.38	-1.#IND	-1.#IND	-1.#IND	
8762.39	-1.#IND	-1.#IND	-1.#IND	
8762.39	-1.#IND	-1.#IND	-1.#IND	
8762.4	-1.#IND	-1.#IND	-1.#IND	
8762.41	-1.#IND	-1.#IND	-1.#IND	
8762.41	-1.#IND	-1.#IND	-1.#IND	
8762.42	-1.#IND	-1.#IND	-1.#IND	
8762.43	-1.#IND	-1.#IND	-1.#IND	
8762.43	-1.#IND	-1.#IND	-1.#IND	
8762.44	-1.#IND	-1.#IND	-1.#IND	
8762.45	-1.#IND	-1.#IND	-1.#IND	
8762.45	-1.#IND	-1.#IND	-1.#IND	
8762.46	-1.#IND	-1.#IND	-1.#IND	
8762.47	-1.#IND	-1.#IND	-1.#IND	
8762.47	-1.#IND	-1.#IND	-1.#IND	
8762.48	-1.#IND	-1.#IND	-1.#IND	
8762.49	-1.#IND	-1.#IND	-1.#IND	
8762.49	-1.#IND	-1.#IND	-1.#IND	
8762.5	-1.#IND	-1.#IND	-1.#IND	
8762.51	-1.#IND	-1.#IND	-1.#IND	
8762.51	-1.#IND	-1.#IND	-1.#IND	
8762.52	-1.#IND	-1.#IND	-1.#IND	
8762.53	-1.#IND	-1.#IND	-1.#IND	
8762.53	-1.#IND	-1.#IND	-1.#IND	
8762.54	-1.#IND	-1.#IND	-1.#IND	
8762.55	-1.#IND	-1.#IND	-1.#IND	
8762.55	-1.#IND	-1.#IND	-1.#IND	
8762.56	-1.#IND	-1.#IND	-1.#IND	
8762.57	-1.#IND	-1.#IND	-1.#IND	
8762.57	-1.#IND	-1.#IND	-1.#IND	
8762.58	-1.#IND	-1.#IND	-1.#IND	
8762.59	-1.#IND	-1.#IND	-1.#IND	
8762.59	-1.#IND	-1.#IND	-1.#IND	
8762.6	-1.#IND	-1.#IND	-1.#IND	
8762.61	-1.#IND	-1.#IND	-1.#IND	
8762.61	-1.#IND	-1.#IND	-1.#IND	
8762.62	-1.#IND	-1.#IND	-1.#IND	
8762.63	-1.#IND	-1.#IND	-1.#IND	
8762.63	-1.#IND	-1.#IND	-1.#IND	
8762.64	-1.#IND	-1.#IND	-1.#IND	
8762.65	-1.#IND	-1.#IND	-1.#IND	
8762.65	-1.#IND	-1.#IND	-1.#IND	
8762.66	-1.#IND	-1.#IND	-1.#IND	
8762.67	-1.#IND	-1.#IND	-1.#IND	
8762.67	-1.#IND	-1.#IND	-1.#IND	
8762.68	-1.#IND	-1.#IND	-1.#IND	
8762.69	-1.#IND	-1.#IND	-1.#IND	
8762.69	-1.#IND	-1.#IND	-1.#IND	
8762.7	-1.#IND	-1.#IND	-1.#IND	
8762.71	-1.#IND	-1.#IND	-1.#IND	
8762.71	-1.#IND	-1.#IND	-1.#IND	
8762.72	-1.#IND	-1.#IND	-1.#IND	
8762.73	-1.#IND	-1.#IND	-1.#IND	
8762.73	-1.#IND	-1.#IND	-1.#IND	
8762.74	-1.#IND	-1.#IND	-1.#IND	
8762.75	-1.#IND	-1.#IND	-1.#IND	
8762.75	-1.#IND	-1.#IND	-1.#IND	
8762.76	-1.#IND	-1.#IND	-1.#IND	
8762.77	-1.#IND	-1.#IND	-1.#IND	
8762.77	-1.#IND	-1.#IND	-1.#IND	
8762.78	-1.#IND	-1.#IND	-1.#IND	
8762.79	-1.#IND	-1.#IND	-1.#IND	
8762.79	-1.#IND	-1.#IND	-1.#IND	
8762.8	-1.#IND	-1.#IND	-1.#IND	
8762.81	-1.#IND	-1.#IND	-1.#IND	
8762.81	-1.#IND	-1.#IND	-1.#IND	
8762.82	-1.#IND	-1.#IND	-1.#IND	
8762.83	-1.#IND	-1.#IND	-1.#IND	
8762.83	-1.#IND	-1.#IND	-1.#IND	
8762.84	-1.#IND	-1.#IND	-1.#IND	
8762.85	-1.#IND	-1.#IND	-1.#IND	
8762.85	-1.#IND	-1.#IND	-1.#IND	
8762.86	-1.#IND	-1.#IND	-1.#IND	
8762.87	-1.#IND	-1.#IND	-1.#IND	
8762.87	-1.#IND	-1.#IND	-1.#IND	
8762.88	-1.#IND	-1.#IND	-1.#IND	
8762.89	-1.#IND	-1.#IND	-1.#IND	
8762.89	-1.#IND	-1.#IND	-1.#IND	
8762.9	-1.#IND	-1.#IND	-1.#IND	
8762.91	-1.#IND	-1.#IND	-1.#IND	
8762.91	-1.#IND	-1.#IND	-1.#IND	
8762.92	-1.#IND	-1.#IND	-1.#IND	
8762.93	-1.#IND	-1.#IND	-1.#IND	
8762.93	-1.#IND	-1.#IND	-1.#IND	
8762.94	-1.#IND	-1.#IND	-1.#IND	
8762.95	-1.#IND	-1.#IND	-1.#IND	
8762.95	-1.#IND	-1.#IND	-1.#IND	
8762.96	-1.#IND	-1.#IND	-1.#IND	
8762.97	-1.#IND	-1.#IND	-1.#IND	
8762.97	-1.#IND	-1.#IND	-1.#IND	
8762.98	-1.#IND	-1.#IND	-1.#IND	
8762.99	-1.#IND	-1.#IND	-1.#IND	
8762.99	-1.#IND	-1.#IND	-1.#IND	
8763	-1.#IND	-1.#IND	-1.#IND	
8763.01	-1.#IND	-1.#IND	-1.#IND	
8763.01	-1.#IND	-1.#IND	-1.#IND	
8763.02	-1.#IND	-1.#IND	-1.#IND	
8763.03	-1.#IND	-1.#IND	-1.#IND	
8763.03	-1.#IND	-1.#IND	-1.#IND	
8763.04	-1.#IND	-1.#IND	-1.#IND	
8763.05	-1.#IND	-1.#IND	-1.#IND	
8763.05	-1.#IND	-1.#IND	-1.#IND	
8763.06	-1.#IND	-1.#IND	-1.#IND	
8763.07	-1.#IND	-1.#IND	-1.#IND	
8763.07	-1.#IND	-1.#IND	-1.#IND	
8763.08	-1.#IND	-1.#IND	-1.#IND	
8763.09	-1.#IND	-1.#IND	-1.#IND	
8763.09	-1.#IND	-1.#IND	-1.#IND	
8763.1	-1.#IND	-1.#IND	-1.#IND	
8763.11	-1.#IND	-1.#IND	-1.#IND	
8763.11	-1.#IND	-1.#IND	-1.#IND	
8763.12	-1.#IND	-1.#IND	-1.#IND	
8763.13	-1.#IND	-1.#IND	-1.#IND	
8763.13	-1.#IND	-1.#IND	-1.#IND	
8763.14	-1.#IND	-1.#IND	-1.#IND	
8763.15	-1.#IND	-1.#IND	-1.#IND	
8763.15	-1.#IND	-1.#IND	-1.#IND	
8763.16	-1.#IND	-1.#IND	-1.#IND	
8763.17	-1.#IND	-1.#IND	-1.#IND	
8763.17	-1.#IND	-1.#IND	-1.#IND	
8763.18	-1.#IND	-1.#IND	-1.#IND	
8763.19	-1.#IND	-1.#IND	-1.#IND	
8763.19	-1.#IND	-1.#IND	-1.#IND	
8763.2	-1.#IND	-1.#IND	-1.#IND	
8763.21	-1.#IND	-1.#IND	-1.#IND	
8763.21	-1.#IND	-1.#IND	-1.#IND	
8763.22	-1.#IND	-1.#IND	-1.#IND	
8763.23	-1.#IND	-1.#IND	-1.#IND	
8763.23	-1.#IND	-1.#IND	-1.#IND	
8763.24	-1.#IND	-1.#IND	-1.#IND	
8763.25	-1.#IND	-1.#IND	-1.#IND	
8763.25	-1.#IND	-1.#IND	-1.#IND	
8763.26	-1.#IND	-1.#IND	-1.#IND	
8763.27	-1.#IND	-1.#IND	-1.#IND	
8763.27	-1.#IND	-1.#IND	-1.#IND	
8763.28	-1.#IND	-1.#IND	-1.#IND	
8763.29	-1.#IND	-1.#IND	-1.#IND	
8763.29	-1.#IND	-1.#IND	-1.#IND	
8763.3	-1.#IND	-1.#IND	-1.#IND	
8763.31	-1.#IND	-1.#IND	-1.#IND	
8763.31	-1.#IND	-1.#IND	-1.#IND	
8763.32	-1.#IND	-1.#IND	-1.#IND	
8763.33	-1.#IND	-1.#IND	-1.#IND	
8763.33	-1.#IND	-1.#IND	-1.#IND	
8763.34	-1.#IND	-1.#IND	-1.#IND	
8763.35	-1.#IND	-1.#IND	-1.#IND	
8763.35	-1.#IND	-1.#IND	-1.#IND	
8763.36	-1.#IND	-1.#IND	-1.#IND	
8763.37	-1.#IND	-1.#IND	-1.#IND	
8763.37	-1.#IND	-1.#IND	-1.#IND	
8763.38	-1.#IND	-1.#IND	-1.#IND	
8763.39	-1.#IND	-1.#IND	-1.#IND	
8763.39	-1.#IND	-1.#IND	-1.#IND	
8763.4	-1.#IND	-1.#IND	-1.#IND	
8763.41	-1.#IND	-1.#IND	-1.#IND	
8763.41	-1.#IND	-1.#IND	-1.#IND	
8763.42	-1.#IND	-1.#IND	-1.#IND	
8763.43	-1.#IND	-1.#IND	-1.#IND	
8763.43	-1.#IND	-1.#IND	-1.#IND	
8763.44	-1.#IND	-1.#IND	-1.#IND	
